id,name,isFork,commits,branches,releases,forks,mainLanguage,defaultBranch,license,homepage,watchers,stargazers,contributors,size,createdAt,pushedAt,updatedAt,totalIssues,openIssues,totalPullRequests,openPullRequests,blankLines,codeLines,commentLines,metrics,lastCommit,lastCommitSHA,hasWiki,isArchived,isDisabled,isLocked,languages,labels,topics
94673114,software-mansion-labs/reanimated-3-playground,FALSE,99,11,0,66,Java,master,,https://docs.swmansion.com/react-native-reanimated,9,195,11,9992,2020-05-28T07:47:13,2023-11-29T08:46:49,2023-12-17T05:19:43,21,1,56,10,48315,238126,82519,"[{""codeLines"":31,""commentLines"":1,""language"":""Visual Studio Solution"",""blankLines"":1},{""codeLines"":471,""commentLines"":25,""language"":""XML"",""blankLines"":13},{""codeLines"":14267,""commentLines"":5,""language"":""Markdown"",""blankLines"":6113},{""codeLines"":2021,""commentLines"":48,""language"":""M4"",""blankLines"":145},{""codeLines"":46565,""commentLines"":9685,""language"":""C"",""blankLines"":8845},{""codeLines"":71,""commentLines"":62,""language"":""Gradle"",""blankLines"":15},{""codeLines"":18,""commentLines"":2,""language"":""Objective-C++"",""blankLines"":6},{""codeLines"":326,""commentLines"":16,""language"":""Python"",""blankLines"":101},{""codeLines"":61,""commentLines"":0,""language"":""Objective-C"",""blankLines"":15},{""codeLines"":7880,""commentLines"":0,""language"":""JSON"",""blankLines"":0},{""codeLines"":0,""commentLines"":9,""language"":""ProGuard"",""blankLines"":1},{""codeLines"":938,""commentLines"":484,""language"":""Expect"",""blankLines"":244},{""codeLines"":6261,""commentLines"":3340,""language"":""Java"",""blankLines"":648},{""codeLines"":130,""commentLines"":18,""language"":""C++"",""blankLines"":25},{""codeLines"":1854,""commentLines"":427,""language"":""YAML"",""blankLines"":419},{""codeLines"":12277,""commentLines"":5111,""language"":""Assembly"",""blankLines"":2386},{""codeLines"":4288,""commentLines"":804,""language"":""Bourne Shell"",""blankLines"":275},{""codeLines"":29,""commentLines"":9,""language"":""JavaScript"",""blankLines"":3},{""codeLines"":172,""commentLines"":103,""language"":""Perl"",""blankLines"":58},{""codeLines"":13,""commentLines"":28,""language"":""Properties"",""blankLines"":9},{""codeLines"":825,""commentLines"":205,""language"":""Bourne Again Shell"",""blankLines"":81},{""codeLines"":17,""commentLines"":0,""language"":""HTML"",""blankLines"":0},{""codeLines"":51,""commentLines"":5,""language"":""TypeScript"",""blankLines"":9},{""codeLines"":121413,""commentLines"":60342,""language"":""Ruby"",""blankLines"":25562},{""codeLines"":69,""commentLines"":2,""language"":""DOS Batch"",""blankLines"":21},{""codeLines"":3370,""commentLines"":1730,""language"":""C/C++ Header"",""blankLines"":1022},{""codeLines"":13399,""commentLines"":0,""language"":""Text"",""blankLines"":2073},{""codeLines"":1309,""commentLines"":58,""language"":""make"",""blankLines"":225}]",2023-11-29T08:46:47,25c2082f0a61eb1d76a4dc50f901ec047a0f6b30,TRUE,FALSE,FALSE,FALSE,"{""Java"":7184,""Ruby"":2352,""Objective-C"":2315,""TypeScript"":1313,""JavaScript"":976,""Objective-C++"":760}",bug;dependencies;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,
48532564,cucumber/cucumber-expressions,FALSE,3219,7,21,52,Java,main,MIT License,,68,167,43,9983,2021-09-20T08:52:59,2025-02-23T08:26:22,2025-02-23T08:26:25,44,20,284,2,3287,32523,885,"[{""codeLines"":53,""commentLines"":0,""language"":""TOML"",""blankLines"":11},{""codeLines"":2651,""commentLines"":88,""language"":""C#"",""blankLines"":383},{""codeLines"":82,""commentLines"":0,""language"":""Maven"",""blankLines"":7},{""codeLines"":13,""commentLines"":0,""language"":""HTML"",""blankLines"":0},{""codeLines"":2274,""commentLines"":80,""language"":""Python"",""blankLines"":431},{""codeLines"":3577,""commentLines"":59,""language"":""Go"",""blankLines"":453},{""codeLines"":2660,""commentLines"":105,""language"":""TypeScript"",""blankLines"":339},{""codeLines"":25,""commentLines"":4,""language"":""Bourne Again Shell"",""blankLines"":3},{""codeLines"":11293,""commentLines"":0,""language"":""JSON"",""blankLines"":0},{""codeLines"":2166,""commentLines"":111,""language"":""Ruby"",""blankLines"":398},{""codeLines"":4537,""commentLines"":266,""language"":""Java"",""blankLines"":850},{""codeLines"":36,""commentLines"":1,""language"":""Visual Studio Solution"",""blankLines"":1},{""codeLines"":61,""commentLines"":0,""language"":""MSBuild script"",""blankLines"":10},{""codeLines"":63,""commentLines"":0,""language"":""JavaScript"",""blankLines"":7},{""codeLines"":15,""commentLines"":0,""language"":""make"",""blankLines"":6},{""codeLines"":2003,""commentLines"":171,""language"":""YAML"",""blankLines"":125},{""codeLines"":17,""commentLines"":0,""language"":""AsciiDoc"",""blankLines"":7},{""codeLines"":997,""commentLines"":0,""language"":""Markdown"",""blankLines"":256}]",2025-02-23T04:55:27,318195cf0e3d3656d0fe5d5f889340f606e3ebc9,FALSE,FALSE,FALSE,FALSE,"{""Java"":217710,""Go"":116832,""C#"":102477,""Python"":97676,""TypeScript"":96741,""Ruby"":91443,""JavaScript"":2263,""Shell"":1185,""Makefile"":307,""CSS"":59}",:bank: debt;:book: documentation;:bug: bug;:pray: help wanted;:robot: dependencies;:zap: enhancement;good first issue;python;wontfix,dotnet;go;java;javascript;polyglot-release;python;ruby;tidelift
37594561,apache/rocketmq-streams,FALSE,811,6,4,82,Java,develop,Apache License 2.0,https://rocketmq.apache.org/,50,164,34,9966,2021-07-11T11:23:39,2023-08-11T08:58:18,2023-08-11T08:56:26,115,2,195,1,1991,7313,2200,"[{""codeLines"":36,""commentLines"":3,""language"":""XML"",""blankLines"":3},{""codeLines"":2,""commentLines"":14,""language"":""Bourne Shell"",""blankLines"":2},{""codeLines"":269,""commentLines"":17,""language"":""Maven"",""blankLines"":30},{""codeLines"":6873,""commentLines"":2164,""language"":""Java"",""blankLines"":1919},{""codeLines"":28,""commentLines"":2,""language"":""YAML"",""blankLines"":7},{""codeLines"":105,""commentLines"":0,""language"":""Markdown"",""blankLines"":30}]",2023-08-11T08:42:38,22976de3ef0fc66e29f41cfc360246c86bb4b39d,TRUE,FALSE,FALSE,FALSE,"{""Java"":433754,""Shell"":835}",bug;dependencies;documentation;duplicate;enhancement;good first issue;help wanted;invalid;progress/discuss;question;soc;urgent;wontfix,
95169145,farfromrefug/EnforceDoze,TRUE,330,1,12,7,Java,master,GNU General Public License v3.0,,5,151,18,9942,2023-04-24T02:36:24,2025-02-24T07:40:07,2025-02-25T12:30:30,20,10,8,0,1171,9939,352,"[{""codeLines"":5572,""commentLines"":266,""language"":""Java"",""blankLines"":768},{""codeLines"":121,""commentLines"":20,""language"":""Bourne Again Shell"",""blankLines"":19},{""codeLines"":3100,""commentLines"":14,""language"":""XML"",""blankLines"":95},{""codeLines"":145,""commentLines"":7,""language"":""YAML"",""blankLines"":27},{""codeLines"":139,""commentLines"":2,""language"":""Markdown"",""blankLines"":81},{""codeLines"":87,""commentLines"":13,""language"":""Gradle"",""blankLines"":14},{""codeLines"":64,""commentLines"":2,""language"":""DOS Batch"",""blankLines"":24},{""codeLines"":3,""commentLines"":15,""language"":""ProGuard"",""blankLines"":2},{""codeLines"":573,""commentLines"":0,""language"":""Text"",""blankLines"":123},{""codeLines"":125,""commentLines"":0,""language"":""Kotlin"",""blankLines"":14},{""codeLines"":10,""commentLines"":13,""language"":""Properties"",""blankLines"":4}]",2025-02-24T07:38:53,a858f4b2ed859611d6da6991ac4205ade466c218,TRUE,FALSE,FALSE,FALSE,"{""Java"":290088,""Ruby"":12438,""Kotlin"":5363}",bug;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,
3268977,maks/mgit,FALSE,845,4,23,166,Java,master,GNU General Public License v3.0,https://manichord.com/projects/mgit.html,51,1213,50,9779,2016-10-14T02:54:01,2024-09-24T07:03:47,2024-09-24T07:03:51,542,271,162,2,4261,21904,2719,"[{""codeLines"":32,""commentLines"":0,""language"":""HTML"",""blankLines"":0},{""codeLines"":13,""commentLines"":0,""language"":""INI"",""blankLines"":3},{""codeLines"":569,""commentLines"":34,""language"":""CSS"",""blankLines"":85},{""codeLines"":8954,""commentLines"":524,""language"":""Java"",""blankLines"":1581},{""codeLines"":59,""commentLines"":2,""language"":""DOS Batch"",""blankLines"":23},{""codeLines"":4833,""commentLines"":324,""language"":""XML"",""blankLines"":542},{""codeLines"":162,""commentLines"":0,""language"":""Markdown"",""blankLines"":64},{""codeLines"":8,""commentLines"":0,""language"":""Properties"",""blankLines"":0},{""codeLines"":108,""commentLines"":3,""language"":""Gradle"",""blankLines"":25},{""codeLines"":412,""commentLines"":23,""language"":""Kotlin"",""blankLines"":75},{""codeLines"":6525,""commentLines"":1783,""language"":""JavaScript"",""blankLines"":1840},{""codeLines"":81,""commentLines"":2,""language"":""SVG"",""blankLines"":0},{""codeLines"":129,""commentLines"":22,""language"":""Bourne Shell"",""blankLines"":21},{""codeLines"":19,""commentLines"":2,""language"":""YAML"",""blankLines"":2}]",2024-09-24T07:03:46,19b497a018ac274d5f9f9778e191b1a2068fdfa4,TRUE,FALSE,FALSE,FALSE,"{""Java"":382389,""Kotlin"":17496,""CSS"":14982,""JavaScript"":3250,""HTML"":629}",beta;bug;crashing;documentation;duplicate;editor;engineering;enhancement;gitlib;good first issue;help wanted;invalid;investigating;l18n;minor;more info required;priority;question;ui/ux;wontfix;working as intended;working on it,
3276797,google/gps-measurement-tools,FALSE,71,1,19,335,Java,master,Apache License 2.0,,92,673,17,9767,2016-09-03T01:06:41,2023-10-09T03:18:06,2023-11-08T01:36:07,0,0,45,6,1964,23954,4453,"[{""codeLines"":334,""commentLines"":0,""language"":""Markdown"",""blankLines"":118},{""codeLines"":11,""commentLines"":28,""language"":""Properties"",""blankLines"":0},{""codeLines"":105,""commentLines"":5,""language"":""Gradle"",""blankLines"":16},{""codeLines"":754,""commentLines"":6,""language"":""XML"",""blankLines"":62},{""codeLines"":126,""commentLines"":36,""language"":""Bourne Shell"",""blankLines"":23},{""codeLines"":38,""commentLines"":3,""language"":""YAML"",""blankLines"":7},{""codeLines"":6358,""commentLines"":2067,""language"":""Java"",""blankLines"":1023},{""codeLines"":66,""commentLines"":2,""language"":""DOS Batch"",""blankLines"":21},{""codeLines"":0,""commentLines"":18,""language"":""ProGuard"",""blankLines"":3},{""codeLines"":6426,""commentLines"":0,""language"":""CSV"",""blankLines"":0},{""codeLines"":2622,""commentLines"":2288,""language"":""MATLAB"",""blankLines"":644},{""codeLines"":7114,""commentLines"":0,""language"":""Text"",""blankLines"":47}]",2023-10-09T03:18:06,42b7cc7de258fbafae604617c44d84a9359768c0,FALSE,FALSE,FALSE,FALSE,"{""Java"":376280,""MATLAB"":206023}",bug;duplicate;enhancement;help wanted;invalid;question;wontfix,
3293257,hardcore-sushi/droidfs,FALSE,376,3,34,45,Java,master,GNU Affero General Public License v3.0,,10,673,10,9679,2020-07-12T02:43:26,2025-01-05T07:16:07,2025-01-09T02:43:54,229,97,81,8,2544,24772,3124,"[{""codeLines"":9658,""commentLines"":474,""language"":""Kotlin"",""blankLines"":875},{""codeLines"":65,""commentLines"":0,""language"":""CMake"",""blankLines"":14},{""codeLines"":669,""commentLines"":0,""language"":""Text"",""blankLines"":141},{""codeLines"":685,""commentLines"":0,""language"":""C"",""blankLines"":116},{""codeLines"":217,""commentLines"":0,""language"":""Markdown"",""blankLines"":58},{""codeLines"":142,""commentLines"":1,""language"":""Gradle"",""blankLines"":21},{""codeLines"":5168,""commentLines"":15,""language"":""XML"",""blankLines"":374},{""codeLines"":200,""commentLines"":115,""language"":""Bourne Shell"",""blankLines"":33},{""codeLines"":13,""commentLines"":13,""language"":""Properties"",""blankLines"":1},{""codeLines"":7870,""commentLines"":2503,""language"":""Java"",""blankLines"":889},{""codeLines"":69,""commentLines"":2,""language"":""DOS Batch"",""blankLines"":21},{""codeLines"":16,""commentLines"":1,""language"":""ProGuard"",""blankLines"":1}]",2025-01-05T07:14:53,4d6b043a8ab8436e3547d2c9d81448ecb61245d5,TRUE,FALSE,FALSE,FALSE,"{""Java"":506698,""Kotlin"":427008,""C"":37123,""Shell"":2661,""CMake"":1769,""C++"":670}",bug;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,android;cryfs;encrypted;encryption;filesystem;gocryptfs;video-recording
3273196,justauth/justauth,FALSE,784,3,46,2781,Java,master,MIT License,https://www.justauth.cn,331,16602,36,9643,2019-01-31T09:42:20,2024-12-14T09:34:26,2024-12-14T01:37:36,130,54,77,1,2031,11164,3357,"[{""codeLines"":62,""commentLines"":17,""language"":""Bourne Shell"",""blankLines"":12},{""codeLines"":15,""commentLines"":0,""language"":""INI"",""blankLines"":4},{""codeLines"":109,""commentLines"":1,""language"":""YAML"",""blankLines"":12},{""codeLines"":1008,""commentLines"":0,""language"":""Markdown"",""blankLines"":344},{""codeLines"":9649,""commentLines"":3335,""language"":""Java"",""blankLines"":1647},{""codeLines"":1,""commentLines"":0,""language"":""Text"",""blankLines"":0},{""codeLines"":301,""commentLines"":4,""language"":""Maven"",""blankLines"":9},{""codeLines"":19,""commentLines"":0,""language"":""HTML"",""blankLines"":3}]",2024-12-14T09:32:48,694bbf1b010d93404e3bfb4824d90e9ddfaebebb,TRUE,FALSE,FALSE,FALSE,"{""Java"":583318,""Shell"":2171}",bug;dependencies;duplicate;enhancement;good first issue;help wanted;improvement;invalid;question;wontfix,googlelogin;justauth;oauth2;qqlogin;weixinlogin
3270488,redouane59/twittered,FALSE,702,8,47,62,Java,develop,Apache License 2.0,,11,229,25,9591,2020-01-26T05:20:50,2023-12-05T10:11:20,2023-12-13T02:14:14,150,28,281,2,1696,47157,1054,"[{""codeLines"":192,""commentLines"":1,""language"":""Maven"",""blankLines"":8},{""codeLines"":37995,""commentLines"":0,""language"":""JSON"",""blankLines"":0},{""codeLines"":8216,""commentLines"":1053,""language"":""Java"",""blankLines"":1642},{""codeLines"":140,""commentLines"":0,""language"":""Markdown"",""blankLines"":45},{""codeLines"":39,""commentLines"":0,""language"":""YAML"",""blankLines"":0},{""codeLines"":575,""commentLines"":0,""language"":""XML"",""blankLines"":1}]",2023-10-01T05:45:18,240f7207ba8f481cb3c454cd19b6bb0cadc96596,TRUE,FALSE,FALSE,FALSE,"{""Java"":383474}",bug;dependencies;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,java;twitter;twitter-api;twitter-api-stream;twitter-api-v2;twitter-apis;twitter-app;twitter-application;twitter-authentication;twitter-bot;twitter-cli;twitter-client;twitter-json;twitter-library;twitter-search
960648,jcabi/jcabi-http,FALSE,1145,26,46,61,Java,master,Other,https://http.jcabi.com,11,148,24,9368,2014-01-28T01:12:40,2025-02-23T09:09:42,2025-02-23T09:09:46,173,28,394,12,1042,8990,3790,"[{""codeLines"":207,""commentLines"":35,""language"":""YAML"",""blankLines"":3},{""codeLines"":25,""commentLines"":0,""language"":""Text"",""blankLines"":2},{""codeLines"":40,""commentLines"":0,""language"":""Markdown"",""blankLines"":11},{""codeLines"":44,""commentLines"":29,""language"":""XML"",""blankLines"":0},{""codeLines"":6,""commentLines"":0,""language"":""JSON"",""blankLines"":0},{""codeLines"":7639,""commentLines"":3682,""language"":""Java"",""blankLines"":923},{""codeLines"":593,""commentLines"":0,""language"":""Velocity Template Language"",""blankLines"":99},{""codeLines"":5,""commentLines"":5,""language"":""Properties"",""blankLines"":3},{""codeLines"":409,""commentLines"":37,""language"":""Maven"",""blankLines"":0},{""codeLines"":22,""commentLines"":2,""language"":""TOML"",""blankLines"":1}]",2025-02-23T09:09:37,858ef0e398fc1c919d086064c38aa62aa9fa3fa3,FALSE,FALSE,FALSE,FALSE,"{""Java"":365980}",0crat/new;0crat/role/dev;0crat/role/rev;0crat/scope;15 mins;30 mins;@amihaiemil;@carlosmiranda;@dmzaytsev;@ggajos;@gmandnepr;@krzyk;@mkordas;@pinaf;@romankisilenko;@westonized;@yamstranger;@yegor256;be;bug;cosmetic;cr;dependencies;dev;duplicate;enhancement;feature-request;good first issue;help wanted;invalid;pdd;question;role/dev;role/rev;scope;vulnerability;wontfix,http;http-client;java;java-http-client
3275904,billthefarmer/diary,FALSE,764,4,105,56,Java,master,GNU General Public License v3.0,https://billthefarmer.github.io/diary,15,261,17,9349,2017-04-28T12:20:11,2024-03-07T01:45:08,2024-03-08T09:25:31,193,1,33,0,1983,11185,2249,"[{""codeLines"":36,""commentLines"":2,""language"":""YAML"",""blankLines"":5},{""codeLines"":6,""commentLines"":0,""language"":""Properties"",""blankLines"":0},{""codeLines"":957,""commentLines"":0,""language"":""Markdown"",""blankLines"":194},{""codeLines"":2701,""commentLines"":680,""language"":""XML"",""blankLines"":351},{""codeLines"":1645,""commentLines"":0,""language"":""JavaScript"",""blankLines"":1},{""codeLines"":45,""commentLines"":4,""language"":""Gradle"",""blankLines"":10},{""codeLines"":103,""commentLines"":109,""language"":""Bourne Shell"",""blankLines"":28},{""codeLines"":153,""commentLines"":0,""language"":""SVG"",""blankLines"":16},{""codeLines"":648,""commentLines"":0,""language"":""HTML"",""blankLines"":409},{""codeLines"":60,""commentLines"":0,""language"":""Text"",""blankLines"":4},{""codeLines"":221,""commentLines"":3,""language"":""CSS"",""blankLines"":41},{""codeLines"":4542,""commentLines"":1449,""language"":""Java"",""blankLines"":903},{""codeLines"":68,""commentLines"":2,""language"":""DOS Batch"",""blankLines"":21}]",2024-03-07T01:44:13,07bb05c3b7a8ea90db5efdc8f574b9f334402a71,FALSE,FALSE,FALSE,FALSE,"{""Java"":224949,""JavaScript"":52691,""CSS"":141}",bug;duplicate;enhancement;help wanted;invalid;question;wontfix,android-diary;calendar;diary
69842745,jakartaee/cdi,FALSE,1035,11,12,78,Java,main,Apache License 2.0,,30,214,44,9236,2011-05-16T05:27:06,2025-02-24T09:03:09,2025-02-24T09:03:12,169,35,686,2,5689,15755,14714,"[{""codeLines"":1814,""commentLines"":76,""language"":""XSD"",""blankLines"":108},{""codeLines"":1048,""commentLines"":69,""language"":""Maven"",""blankLines"":93},{""codeLines"":720,""commentLines"":37,""language"":""XML"",""blankLines"":18},{""codeLines"":6042,""commentLines"":240,""language"":""AsciiDoc"",""blankLines"":3063},{""codeLines"":4703,""commentLines"":14179,""language"":""Java"",""blankLines"":2034},{""codeLines"":273,""commentLines"":0,""language"":""Text"",""blankLines"":33},{""codeLines"":72,""commentLines"":69,""language"":""YAML"",""blankLines"":12},{""codeLines"":793,""commentLines"":14,""language"":""Markdown"",""blankLines"":275},{""codeLines"":290,""commentLines"":30,""language"":""HTML"",""blankLines"":53}]",2025-02-24T09:03:05,4494a6d549fd891981605f0ec2293d5662b839ef,TRUE,FALSE,FALSE,FALSE,"{""Java"":741100,""HTML"":2651}",accepted;appealed-challenge;breaking_change;certification;challenge;challenge-appeal;dependencies;enhancement;epic;fixme;github_actions;invalid;java;lite;lite-extension-api;review_priority_critical;review_priority_major;review_priority_minor;ruby;spec-bug;spec-clarification;spec-feature;waiting_1_more_approval;wave:3,
64267,labexp/osmtracker-android,FALSE,645,32,7,240,Java,master,GNU General Public License v3.0,,47,507,27,9185,2011-09-08T11:36:33,2025-02-24T02:39:07,2025-02-24T11:31:43,233,69,313,40,2639,28334,4115,"[{""codeLines"":129,""commentLines"":22,""language"":""Bourne Shell"",""blankLines"":21},{""codeLines"":17065,""commentLines"":1405,""language"":""XML"",""blankLines"":282},{""codeLines"":35,""commentLines"":0,""language"":""Markdown"",""blankLines"":10},{""codeLines"":11,""commentLines"":0,""language"":""Properties"",""blankLines"":0},{""codeLines"":111,""commentLines"":0,""language"":""YAML"",""blankLines"":21},{""codeLines"":59,""commentLines"":2,""language"":""DOS Batch"",""blankLines"":23},{""codeLines"":1803,""commentLines"":3,""language"":""SVG"",""blankLines"":3},{""codeLines"":8990,""commentLines"":2663,""language"":""Java"",""blankLines"":2244},{""codeLines"":32,""commentLines"":6,""language"":""Kotlin"",""blankLines"":6},{""codeLines"":99,""commentLines"":14,""language"":""Gradle"",""blankLines"":29}]",2024-12-05T08:12:44,184c60032db53197756fa4141320b52389a6f284,TRUE,FALSE,FALSE,FALSE,"{""Java"":477803,""Kotlin"":1691}",good first issue;prio:high;prio:low;prio:need design;prio:needs-pr;prio:normal;scope:export;scope:gps;scope:map-view;scope:osm;scope:recording;scope:test;scope:ux;type:bug;type:enhancement;type:feature;type:invalid;type:question;type:wontfix,gpx;openstreetmap;osm
3263337,ozlerhakan/poiji,FALSE,488,11,39,134,Java,master,MIT License,,19,474,22,9156,2017-01-19T12:23:12,2025-01-19T11:12:39,2025-01-19T11:11:34,180,1,106,0,2592,9356,1048,"[{""codeLines"":8382,""commentLines"":988,""language"":""Java"",""blankLines"":2320},{""codeLines"":99,""commentLines"":32,""language"":""YAML"",""blankLines"":23},{""codeLines"":6,""commentLines"":0,""language"":""Bourne Shell"",""blankLines"":5},{""codeLines"":196,""commentLines"":1,""language"":""Maven"",""blankLines"":19},{""codeLines"":673,""commentLines"":27,""language"":""AsciiDoc"",""blankLines"":225}]",2025-01-19T11:11:32,bd5487d07711854c23c4b111c72e8b6dd7b7963d,FALSE,FALSE,FALSE,FALSE,"{""Java"":376291,""Shell"":273}",bot;bug;dependencies;duplicate;enhancement;hacktoberfest;help wanted;inprogress;invalid;nice-to-have;pinned;pull-requests;question;wontfix,apache;apache-poi;converter;data;deserialize;excel;java;java-11;mapper;mapping;microsoft-excel;parser;performance;poi;poiji;pojo;unmarshall
38759145,dongyi-kim/10weeks-codingtest,FALSE,268,2,0,38,Java,master,GNU General Public License v2.0,https://edu.goorm.io/lecture/554/10주-완성-알고리즘-코딩테스트,34,132,11,9136,2017-10-05T09:13:53,2024-03-25T03:12:33,2024-03-04T06:26:23,6,2,29,2,4261,1282924,3190,"[{""codeLines"":265,""commentLines"":8,""language"":""JavaScript"",""blankLines"":20},{""codeLines"":2656,""commentLines"":234,""language"":""Rust"",""blankLines"":358},{""codeLines"":7555,""commentLines"":1652,""language"":""Java"",""blankLines"":2259},{""codeLines"":5159,""commentLines"":1138,""language"":""C++"",""blankLines"":1419},{""codeLines"":1266795,""commentLines"":0,""language"":""Text"",""blankLines"":0},{""codeLines"":421,""commentLines"":158,""language"":""Python"",""blankLines"":177},{""codeLines"":73,""commentLines"":0,""language"":""Markdown"",""blankLines"":28}]",2024-03-25T03:12:29,cbaa4da2d4a099b270816c28b3f2c88a37504a93,TRUE,FALSE,FALSE,FALSE,"{""Java"":292572,""C++"":176314,""Rust"":87236,""Python"":18032,""JavaScript"":6607}",bug;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,algorithm;algorithms;coding-interview;coding-skills;competitive-programming;data-structure;datastructure;java;problem-solving;python
95301204,seize-the-dave/jscep,FALSE,1248,2,14,87,Java,master,MIT License,,14,119,23,9119,2012-09-25T11:50:00,2025-02-24T10:18:38,2025-02-24T10:18:35,77,3,290,3,1503,8475,2931,"[{""codeLines"":368,""commentLines"":0,""language"":""Markdown"",""blankLines"":170},{""codeLines"":11,""commentLines"":0,""language"":""HTML"",""blankLines"":1},{""codeLines"":1238,""commentLines"":0,""language"":""Text"",""blankLines"":3},{""codeLines"":126,""commentLines"":25,""language"":""YAML"",""blankLines"":24},{""codeLines"":12,""commentLines"":3,""language"":""Properties"",""blankLines"":3},{""codeLines"":8,""commentLines"":0,""language"":""Bourne Shell"",""blankLines"":0},{""codeLines"":6365,""commentLines"":2895,""language"":""Java"",""blankLines"":1302},{""codeLines"":339,""commentLines"":8,""language"":""Maven"",""blankLines"":0},{""codeLines"":3,""commentLines"":0,""language"":""JSON"",""blankLines"":0},{""codeLines"":5,""commentLines"":0,""language"":""XML"",""blankLines"":0}]",2025-02-24T10:18:30,71b20202bc53233ff748aba7ab89d8b3d9ad6ab9,FALSE,FALSE,FALSE,FALSE,"{""Java"":358946,""Shell"":167}",bug;dependencies;duplicate;enhancement;invalid;question;security;wontfix,certificate;java;scep;scep-server
3271190,spring-io/spring-javaformat,FALSE,642,3,35,111,Java,main,Apache License 2.0,,25,820,24,9092,2018-04-02T07:48:16,2025-01-15T09:41:26,2025-01-15T09:41:28,370,25,60,3,3118,24079,5319,"[{""codeLines"":214,""commentLines"":0,""language"":""XSLT"",""blankLines"":0},{""codeLines"":3478,""commentLines"":16,""language"":""Maven"",""blankLines"":0},{""codeLines"":4,""commentLines"":0,""language"":""Groovy"",""blankLines"":0},{""codeLines"":105,""commentLines"":1,""language"":""HTML"",""blankLines"":7},{""codeLines"":12,""commentLines"":0,""language"":""CSS"",""blankLines"":0},{""codeLines"":8,""commentLines"":0,""language"":""Dockerfile"",""blankLines"":3},{""codeLines"":3902,""commentLines"":0,""language"":""JSON"",""blankLines"":0},{""codeLines"":1054,""commentLines"":27,""language"":""XML"",""blankLines"":36},{""codeLines"":144,""commentLines"":75,""language"":""TypeScript"",""blankLines"":15},{""codeLines"":91,""commentLines"":0,""language"":""Gradle"",""blankLines"":18},{""codeLines"":8974,""commentLines"":5056,""language"":""Java"",""blankLines"":2204},{""codeLines"":455,""commentLines"":2,""language"":""AsciiDoc"",""blankLines"":212},{""codeLines"":112,""commentLines"":16,""language"":""Properties"",""blankLines"":4},{""codeLines"":277,""commentLines"":4,""language"":""DOS Batch"",""blankLines"":79},{""codeLines"":630,""commentLines"":122,""language"":""Bourne Shell"",""blankLines"":92},{""codeLines"":1127,""commentLines"":0,""language"":""INI"",""blankLines"":0},{""codeLines"":10,""commentLines"":0,""language"":""Markdown"",""blankLines"":9},{""codeLines"":3138,""commentLines"":0,""language"":""Text"",""blankLines"":439},{""codeLines"":344,""commentLines"":0,""language"":""YAML"",""blankLines"":0}]",2025-01-15T09:41:11,def2b30c59589a7457a97da1df1ffe225d978ab1,TRUE,FALSE,FALSE,FALSE,"{""Java"":527437,""Shell"":11189,""TypeScript"":8651,""XSLT"":7165,""HTML"":2015,""CSS"":719,""Dockerfile"":279,""Groovy"":247}",for: eclipse;for: external-project;for: intellij-idea;status: blocked;status: declined;status: duplicate;status: invalid;status: on-hold;status: superseded;type: blocker;type: bug;type: dependency-upgrade;type: documentation;type: enhancement;type: regression;type: task,